K = 10;

P = [ 1 70 11 19 38 75 5 37 86 81 ];
R = [ 19 45 36 4 1 16 48 36 2 13 ];
A = [ 4 6 8 8 2 5 6 5 2 6 ];
C = [ 13 6 17 19 7 10 9 15 20 2 ];

N = 40;

M = [
    [      0    5   18   44   44   39   49   39    3   13   11   39   26   19    4   18   19   34   17   47   16   35   44   32   33   24   33   14   47    3   22   10   10   28   35   15   16   11   48   35 ]
    [      5    0   27   27    5    4   35   50    1   46    4   25   38   15   22   33    1    4    7   47   15   51    4   25   26   46   43   50   12    9    8    9   23   29    6   49   33   21   27   32 ]
    [     18   27    0   14   12    5   32    8   13   26    1    8   20   15   22   35    4   39   24   31   14   33    8   38   44    3   47   25    7   24   22   21   38   29   25   20   45   34   16    4 ]
    [     44   27   14    0    4    9   46    7   50   43   22   18   23   41   16   26   47   11   18   32   42   15   50   21   30   15   48   43   16   40   47    6   12   27   23   27   16   49   36   49 ]
    [     44    5   12    4    0    3   50   23   36   20   20   19   45   50    5   29   39    8   25   51   11   17    6   40   34   49   29    6   35   10    1   29   23   14   46   50   50    1   47    6 ]
    [     39    4    5    9    3    0   26   44   24    4   27   12   37    5   11   15   38   27   51   18   24    3   15   33    9    1   45    2   41   39   50   35   51   21   20   16   23   15    5   20 ]
    [     49   35   32   46   50   26    0   30   25    8   28   20   36   12   10   45   40   24   44   40   32   46   13    8   48   10   48   36    4    1   50   43    9    1   38   13   13   25   29   45 ]
    [     39   50    8    7   23   44   30    0    6   20    4   20   31   34    6   31   35   30   26   47   27   51   51   10    3    2   38   48   31   26    1   25   38   36   39   32   29   49   33   28 ]
    [      3    1   13   50   36   24   25    6    0   15   45   19    5   47    7   27   41   46    7    7   12   33   34   46    5   26   48   17    3   40   48   42   23   19   33    7    5   26   40   19 ]
    [     13   46   26   43   20    4    8   20   15    0   21   36   33   33   37   25   26   47    1   36   38   42    1   30   50    3   28   42   12   20   44   25   47   11   44   39   29    2   48   47 ]
    [     11    4    1   22   20   27   28    4   45   21    0   42   20    3   28   28   49   45    2   48   17   11   27   18   51   13   38   36   16   13   17    3   13   47   47   16   50    2   22   50 ]
    [     39   25    8   18   19   12   20   20   19   36   42    0   50   33   32   20   18   29   48   48   43   38   17   51   28   43   27   30   21   38   34   33    8   40   48   33    9   39   36   33 ]
    [     26   38   20   23   45   37   36   31    5   33   20   50    0   32    1   21    6   42   39   39   33   47   30    3   34   13   36   41   28   12   35    5   49   33   41    3   10    7   31   41 ]
    [     19   15   15   41   50    5   12   34   47   33    3   33   32    0    5   34   48   16   21    5   44   25   22   44    8    4    1   40   21    9   32   24   12    6   36   26   12    5    3   12 ]
    [      4   22   22   16    5   11   10    6    7   37   28   32    1    5    0    8   23    3   48   11   31   15   40   12   13   44    9   27   28   31   34   31   25   46   43   49   23   26   19    3 ]
    [     18   33   35   26   29   15   45   31   27   25   28   20   21   34    8    0   45   34   29    7   22   40   23   49   51   46   39   48    4   46   40   25   20   51   14   29   42   43   12   20 ]
    [     19    1    4   47   39   38   40   35   41   26   49   18    6   48   23   45    0   13   45    9    8   33   43   42   12   19    2   40   51   41   33   20   46   23   18   42   28   35    9   29 ]
    [     34    4   39   11    8   27   24   30   46   47   45   29   42   16    3   34   13    0   42   22    4   37   28   33   38    4    9   17   49   51   19    7   22   45   33   25   50   14   12   30 ]
    [     17    7   24   18   25   51   44   26    7    1    2   48   39   21   48   29   45   42    0    8   32   24   39    4   35   13   37   48   16   28    6   10   25   34   13   36    7   15   23   24 ]
    [     47   47   31   32   51   18   40   47    7   36   48   48   39    5   11    7    9   22    8    0   27   47   49   35    7   25   45    7   42   19   47   34   13   28   30   41   51   14   43   34 ]
    [     16   15   14   42   11   24   32   27   12   38   17   43   33   44   31   22    8    4   32   27    0   43    4   35   18   18   49   27    5   25    3    4   33   29    5   25   43   41    4    3 ]
    [     35   51   33   15   17    3   46   51   33   42   11   38   47   25   15   40   33   37   24   47   43    0    7   35   20   13   40   44   34   19    1   17   48    9   49   35   11   27   42   18 ]
    [     44    4    8   50    6   15   13   51   34    1   27   17   30   22   40   23   43   28   39   49    4    7    0    6   24   38   23    2   11   45   51   39   13   45   32   41   49   37   18    2 ]
    [     32   25   38   21   40   33    8   10   46   30   18   51    3   44   12   49   42   33    4   35   35   35    6    0   43   44   39   43   33   30    5   38   14   36   39   16   27   19   31   33 ]
    [     33   26   44   30   34    9   48    3    5   50   51   28   34    8   13   51   12   38   35    7   18   20   24   43    0   49   51   16   36   40   11   12   30    8   35   39   35   35    7   26 ]
    [     24   46    3   15   49    1   10    2   26    3   13   43   13    4   44   46   19    4   13   25   18   13   38   44   49    0    1    5   12   35   46   27    4   37   14   33   34   18   41   16 ]
    [     33   43   47   48   29   45   48   38   48   28   38   27   36    1    9   39    2    9   37   45   49   40   23   39   51    1    0   37   47   22   43    5   11   10   42    3   35   24    4   47 ]
    [     14   50   25   43    6    2   36   48   17   42   36   30   41   40   27   48   40   17   48    7   27   44    2   43   16    5   37    0   27   11   45   28   45   27    8   10   16   48    4   41 ]
    [     47   12    7   16   35   41    4   31    3   12   16   21   28   21   28    4   51   49   16   42    5   34   11   33   36   12   47   27    0   29   32   33   26   34   44   29   11   22   12   46 ]
    [      3    9   24   40   10   39    1   26   40   20   13   38   12    9   31   46   41   51   28   19   25   19   45   30   40   35   22   11   29    0   39   43   46   32   33    3   14   18   11   49 ]
    [     22    8   22   47    1   50   50    1   48   44   17   34   35   32   34   40   33   19    6   47    3    1   51    5   11   46   43   45   32   39    0   35   30   46   49   17   42   50   51   25 ]
    [     10    9   21    6   29   35   43   25   42   25    3   33    5   24   31   25   20    7   10   34    4   17   39   38   12   27    5   28   33   43   35    0   28   12    5   42   31   24   36    1 ]
    [     10   23   38   12   23   51    9   38   23   47   13    8   49   12   25   20   46   22   25   13   33   48   13   14   30    4   11   45   26   46   30   28    0   42   12   44   42    8   38   38 ]
    [     28   29   29   27   14   21    1   36   19   11   47   40   33    6   46   51   23   45   34   28   29    9   45   36    8   37   10   27   34   32   46   12   42    0   24   33   18   40   11   50 ]
    [     35    6   25   23   46   20   38   39   33   44   47   48   41   36   43   14   18   33   13   30    5   49   32   39   35   14   42    8   44   33   49    5   12   24    0   13   10   21   36   25 ]
    [     15   49   20   27   50   16   13   32    7   39   16   33    3   26   49   29   42   25   36   41   25   35   41   16   39   33    3   10   29    3   17   42   44   33   13    0   28   46   41   31 ]
    [     16   33   45   16   50   23   13   29    5   29   50    9   10   12   23   42   28   50    7   51   43   11   49   27   35   34   35   16   11   14   42   31   42   18   10   28    0   10   50    4 ]
    [     11   21   34   49    1   15   25   49   26    2    2   39    7    5   26   43   35   14   15   14   41   27   37   19   35   18   24   48   22   18   50   24    8   40   21   46   10    0   30   44 ]
    [     48   27   16   36   47    5   29   33   40   48   22   36   31    3   19   12    9   12   23   43    4   42   18   31    7   41    4    4   12   11   51   36   38   11   36   41   50   30    0   30 ]
    [     35   32    4   49    6   20   45   28   19   47   50   33   41   12    3   20   29   30   24   34    3   18    2   33   26   16   47   41   46   49   25    1   38   50   25   31    4   44   30    0 ]
];
